Time_Interval,Task_ID,Priority,Deadline_ms,Required_CPU_MCycles,Required_RAM_MB,Estimated_Energy_J
126,TASK_225,Medium,278,2767,772,66.21
126,TASK_494,Low,474,739,3678,16.83
126,TASK_985,High,148,1912,2359,81.25
127,TASK_398,High,107,1190,320,50.73
127,TASK_957,High,71,414,2139,70.79
127,TASK_485,Low,659,1972,2234,99.11
127,TASK_707,High,76,1661,241,19.58
128,TASK_264,High,74,914,749,39.88
128,TASK_179,Low,963,276,490,107.99
128,TASK_383,Medium,366,2655,2815,31.62
128,TASK_544,Medium,332,1751,3599,44.21
128,TASK_333,Low,634,1109,3107,102.08
128,TASK_328,Medium,300,1141,761,102.14
128,TASK_313,Low,438,1288,773,106.91
128,TASK_630,Low,834,1189,3739,27.57
129,TASK_808,Medium,297,1738,1194,63.16
129,TASK_499,High,110,555,3434,42.3
129,TASK_268,Medium,344,2172,441,83.64
129,TASK_182,High,148,2885,869,84.47
129,TASK_488,Medium,368,975,771,119.08
129,TASK_223,Low,486,364,1135,8.73
129,TASK_108,Low,482,2089,278,50.09
129,TASK_283,Medium,267,1039,2805,81.1
130,TASK_24,Low,889,2374,687,79.15
130,TASK_962,High,115,959,2367,40.24
130,TASK_226,Medium,258,1507,2160,16.88
130,TASK_220,Medium,157,2351,1765,12.73
130,TASK_400,Low,411,2084,3773,67.58
130,TASK_59,Medium,244,1993,1158,91.28
130,TASK_571,Low,547,715,1082,15.86
130,TASK_210,Medium,228,2182,3163,42.58
131,TASK_45,Medium,215,1547,3092,69.03
131,TASK_711,Low,885,2376,2079,29.02
131,TASK_17,Low,805,382,1285,19.49
131,TASK_137,Medium,211,2642,1489,37.39
131,TASK_211,Medium,294,1503,3406,6.24
131,TASK_293,High,67,2727,2901,17.18
132,TASK_52,Medium,159,2659,152,105.52
132,TASK_153,High,59,756,730,47.84
132,TASK_685,High,73,2077,3599,119.74
132,TASK_904,High,65,2975,177,60.64
132,TASK_881,Low,836,1299,2451,100.75
132,TASK_906,Low,461,1192,2903,46.15
132,TASK_73,Low,936,970,2437,92.47
133,TASK_654,Medium,228,1824,3943,88.98
133,TASK_849,Low,541,1334,957,16.32
133,TASK_879,Low,797,1738,3933,53.3
133,TASK_814,Low,590,1043,3421,69.16
133,TASK_929,Medium,214,650,2743,73.92
134,TASK_778,High,139,2120,1576,77.62
134,TASK_721,Medium,256,884,4052,70.07
134,TASK_170,High,148,2417,2724,99.0
134,TASK_75,Low,979,2914,1317,61.04
135,TASK_121,Medium,252,1603,929,94.15
135,TASK_582,Low,420,432,3929,46.01
135,TASK_47,Medium,312,2886,1399,96.53
135,TASK_330,Medium,373,2214,2158,48.59
135,TASK_416,High,53,1842,4021,56.76
136,TASK_762,High,93,661,1165,79.06
136,TASK_329,Medium,385,613,1801,54.6
136,TASK_109,Low,498,2023,1262,91.34
136,TASK_113,Low,589,1264,1151,82.9
136,TASK_678,High,118,2725,2633,116.47
137,TASK_193,Low,519,1602,4065,61.67
137,TASK_668,Medium,191,1496,2863,43.11
137,TASK_404,High,83,1311,378,108.99
137,TASK_486,Medium,297,361,3126,9.62
137,TASK_143,Medium,348,1129,2494,118.86
138,TASK_533,High,106,2422,3740,39.03
138,TASK_882,Low,864,2103,2555,97.48
138,TASK_592,High,138,2703,1520,48.7
138,TASK_992,Low,448,1859,3570,10.66
139,TASK_243,Medium,392,1176,3643,34.08
139,TASK_111,High,122,2442,1587,93.87
140,TASK_487,Low,446,1951,2749,107.34
140,TASK_285,Medium,244,1546,3625,45.79
140,TASK_548,Medium,287,683,1940,87.19
140,TASK_638,Medium,248,2297,532,11.56
140,TASK_623,High,71,2693,965,76.2
141,TASK_618,Low,893,1345,1358,85.57
141,TASK_567,Low,918,1302,1210,81.48
141,TASK_665,Medium,349,1082,1020,11.54
141,TASK_775,Medium,367,2113,1067,96.98
141,TASK_701,Medium,161,2860,2978,22.41
142,TASK_140,High,76,775,402,87.35
142,TASK_424,Medium,203,2388,1749,55.84
142,TASK_856,Medium,227,1304,1079,16.15
142,TASK_324,Low,701,746,2591,99.81
142,TASK_652,Low,775,1362,1850,98.14
143,TASK_740,Medium,153,1624,3030,113.2
143,TASK_155,Low,822,2237,1927,12.11
143,TASK_426,Low,601,2424,2600,50.38
144,TASK_510,High,75,757,3703,31.83
144,TASK_644,Medium,170,779,3319,99.31
144,TASK_747,High,52,850,3908,51.62
144,TASK_634,Low,693,692,2750,60.03
144,TASK_467,Medium,249,1072,209,80.83
144,TASK_520,High,119,740,3567,44.25
144,TASK_277,High,111,2758,3186,87.2
144,TASK_244,Medium,177,1407,2458,71.43
144,TASK_902,Low,654,958,890,45.88
144,TASK_423,High,134,1018,632,61.64
145,TASK_851,High,121,1858,2694,73.93
145,TASK_822,Low,590,2949,3148,10.24
145,TASK_988,High,84,2345,2965,119.65
145,TASK_236,Low,765,466,3794,44.96
145,TASK_884,High,58,2356,1460,11.86
145,TASK_662,Medium,215,1613,3463,109.8
145,TASK_772,Medium,225,814,2646,100.03
145,TASK_682,Medium,161,1262,1826,63.18
145,TASK_332,Medium,235,1298,242,33.88
145,TASK_474,High,104,1323,348,54.16
146,TASK_736,High,70,304,3864,77.46
146,TASK_794,Medium,277,453,533,81.65
146,TASK_81,Low,942,2543,817,100.17
146,TASK_312,Medium,268,778,612,30.35
146,TASK_657,Medium,317,2558,231,58.61
146,TASK_995,Medium,339,221,1550,34.46
147,TASK_257,Medium,260,894,1462,101.7
147,TASK_625,Medium,215,2961,1491,7.95
147,TASK_291,Low,672,2967,3000,47.95
147,TASK_733,Medium,212,1489,2249,100.27
147,TASK_224,Low,442,1198,1052,80.75
147,TASK_357,Medium,333,1173,3680,84.13
147,TASK_919,High,93,1090,363,35.03
147,TASK_254,Medium,213,1971,4055,14.74
147,TASK_534,Low,942,2992,2746,81.34
147,TASK_473,Low,582,596,2111,52.29
148,TASK_294,High,104,221,2632,45.81
148,TASK_251,Medium,395,2394,3518,97.66
148,TASK_704,Low,786,1396,3614,71.9
148,TASK_327,High,56,1001,3149,67.13
148,TASK_258,High,145,1451,1965,30.44
149,TASK_729,Medium,286,1992,510,14.27
149,TASK_809,Medium,273,583,334,12.13
149,TASK_926,High,147,1039,1031,20.32
150,TASK_439,High,63,2422,3982,8.99
150,TASK_18,High,92,1774,1870,27.59
151,TASK_127,Medium,370,1791,4029,112.32
151,TASK_643,High,56,2519,3003,78.34
151,TASK_396,Low,997,1939,1254,9.63
151,TASK_272,Medium,227,1910,3056,51.89
151,TASK_601,Medium,383,1792,2236,56.07
151,TASK_972,Medium,363,1892,1979,37.58
151,TASK_154,Low,870,1378,3949,111.79
151,TASK_854,High,68,1952,1082,50.21
151,TASK_897,High,51,277,2097,114.17
152,TASK_600,Medium,276,1923,3421,118.54
152,TASK_547,Medium,269,2620,3074,21.48
152,TASK_594,High,61,1206,2237,49.7
152,TASK_198,Medium,209,1639,3897,18.41
152,TASK_295,High,122,1949,1436,52.51
152,TASK_16,High,84,2012,4034,92.68
152,TASK_299,Medium,273,325,2828,50.45
152,TASK_413,Low,610,867,1531,98.99
152,TASK_754,Low,626,1332,1713,114.31
153,TASK_783,High,101,2436,1333,67.23
153,TASK_412,Medium,219,1380,2969,31.0
153,TASK_310,High,81,741,724,89.12
153,TASK_716,Medium,157,2651,3641,71.35
153,TASK_434,Low,672,2148,3612,35.84
154,TASK_577,Medium,269,2855,2475,88.83
154,TASK_964,Medium,311,2015,1417,72.62
154,TASK_839,Medium,264,642,423,13.83
154,TASK_96,High,54,1728,987,23.48
154,TASK_509,Low,701,2300,2492,84.62
155,TASK_399,Medium,203,1464,1904,116.99
155,TASK_192,Medium,166,1020,3729,38.11
155,TASK_937,Low,987,2124,1164,72.26
155,TASK_770,Medium,363,1591,1873,10.56
155,TASK_912,Low,893,589,3283,70.58
156,TASK_755,Medium,338,899,2051,7.54
157,TASK_100,Low,744,1330,1192,10.71
157,TASK_587,High,139,225,985,115.13
157,TASK_774,High,79,674,2452,45.61
158,TASK_472,Low,749,2988,659,76.23
158,TASK_364,Medium,179,1893,576,67.84
158,TASK_340,High,51,557,3878,36.28
158,TASK_22,Medium,250,1106,608,71.62
159,TASK_273,Medium,254,2246,1364,23.54
159,TASK_688,Low,563,336,2032,51.08
159,TASK_741,Medium,305,2601,2071,19.3
160,TASK_380,Medium,373,2659,3516,101.02
160,TASK_160,Low,641,2509,3272,116.33
160,TASK_229,Medium,376,2860,2196,39.08
160,TASK_288,High,147,1142,2251,100.87
160,TASK_914,Low,868,724,3837,90.36
160,TASK_545,Medium,369,919,2902,110.49
160,TASK_725,Medium,259,892,2712,21.5
160,TASK_231,Medium,166,2109,2630,99.16
160,TASK_201,Medium,246,582,2947,44.56
161,TASK_718,Medium,309,1829,642,97.35
161,TASK_403,High,63,2456,3736,36.22
161,TASK_321,High,70,2435,848,82.91
161,TASK_561,Low,649,394,3468,81.11
161,TASK_553,High,119,2407,3684,96.1
161,TASK_804,Low,555,2638,561,60.58
161,TASK_298,Medium,227,2567,3798,13.06
161,TASK_28,Low,441,655,227,81.09
161,TASK_262,Medium,372,598,3588,49.23
161,TASK_773,Medium,369,1781,1226,72.62
161,TASK_381,Medium,213,1211,3100,117.09
162,TASK_124,Medium,250,2687,188,8.46
162,TASK_840,High,146,2409,3161,5.48
162,TASK_83,Medium,169,1304,1907,8.5
162,TASK_579,Low,712,633,3406,18.6
163,TASK_550,Low,799,2870,985,65.43
163,TASK_655,Low,780,2521,3966,46.95
163,TASK_318,Low,929,340,885,51.37
163,TASK_115,Low,662,559,2912,111.85
163,TASK_114,Medium,387,2270,1726,70.06
164,TASK_732,High,50,1627,3649,72.46
164,TASK_253,Low,919,2867,2227,29.04
164,TASK_589,High,137,2754,785,64.16
164,TASK_591,Medium,296,660,2911,68.12
164,TASK_304,Medium,181,895,1775,53.21
164,TASK_760,Low,610,751,3877,20.2
164,TASK_70,Low,881,762,745,109.47
165,TASK_820,Medium,187,2049,1245,67.25
165,TASK_675,Medium,327,719,1242,33.85
165,TASK_195,High,90,1146,3861,73.55
166,TASK_305,Medium,328,1509,2070,24.34
166,TASK_719,Medium,273,2965,1359,67.13
166,TASK_861,Low,669,2114,2263,59.64
166,TASK_873,Medium,212,1364,2806,52.11
166,TASK_676,High,92,2609,2655,18.85
167,TASK_709,Medium,256,2793,1119,23.71
167,TASK_651,High,135,1555,493,108.26
167,TASK_693,Medium,292,1951,3092,80.86
167,TASK_50,Medium,169,2732,737,30.36
168,TASK_562,High,106,688,2442,77.88
168,TASK_465,Medium,266,426,3248,117.39
168,TASK_263,Low,759,2146,1699,57.8
168,TASK_666,Low,443,996,3967,93.15
169,TASK_320,Medium,290,847,3613,66.1
170,TASK_445,Low,899,2008,2232,106.9
170,TASK_166,Low,572,2732,1520,91.39
170,TASK_408,High,124,2637,2716,54.0
170,TASK_923,High,117,1737,2058,89.53
170,TASK_667,Medium,246,2372,1701,85.74
170,TASK_34,Medium,383,2350,1216,26.03
171,TASK_156,High,54,562,818,15.62
171,TASK_556,Medium,194,2976,3773,113.78
172,TASK_197,Medium,279,1577,1290,23.91
172,TASK_363,Low,812,2568,1129,40.33
172,TASK_131,Low,821,1113,1679,41.52
172,TASK_65,Medium,329,2066,3849,110.89
172,TASK_228,High,73,856,3035,70.32
173,TASK_828,Medium,393,695,4003,19.6
173,TASK_700,High,119,1826,2676,114.78
173,TASK_726,Medium,395,1305,195,22.42
173,TASK_419,Medium,395,1897,2807,14.61
173,TASK_724,Medium,347,2203,466,39.08
174,TASK_664,High,52,819,1333,41.31
174,TASK_390,Low,465,1689,3993,50.18
175,TASK_39,High,101,1566,948,70.69
175,TASK_394,Medium,286,553,1465,95.55
175,TASK_67,Low,424,1489,3272,38.52
175,TASK_136,High,112,325,1801,36.91
176,TASK_521,Medium,239,370,3628,60.03
176,TASK_335,Medium,171,2215,1864,64.12
176,TASK_406,Medium,270,1999,3586,68.23
177,TASK_596,Low,824,690,2680,15.92
177,TASK_795,Low,672,380,1877,14.21
177,TASK_803,Low,647,2927,3603,63.85
177,TASK_621,Low,916,2700,1942,62.5
177,TASK_934,Medium,317,312,3248,37.85
178,TASK_765,High,96,283,2364,73.94
178,TASK_669,Medium,393,818,2202,82.7
178,TASK_915,Low,724,2055,2168,7.9
178,TASK_549,High,129,1172,3775,38.74
178,TASK_271,High,117,2170,2272,59.69
179,TASK_870,High,94,880,592,100.52
179,TASK_859,Low,823,1311,1332,82.92
179,TASK_511,Low,980,2015,846,76.91
179,TASK_555,High,122,424,1621,83.16
179,TASK_148,Medium,211,2100,2121,35.02
180,TASK_532,Low,587,1922,171,25.08
180,TASK_955,High,77,1307,3574,91.23
180,TASK_640,High,112,1062,3874,72.34
180,TASK_203,Medium,391,1756,383,80.75
180,TASK_2,Medium,234,540,2195,118.79
180,TASK_444,High,104,722,669,34.88
181,TASK_817,High,107,2998,3355,16.27
181,TASK_374,High,54,1669,366,6.91
181,TASK_648,Medium,217,2943,3077,34.02
182,TASK_692,Low,958,2418,3898,49.54
182,TASK_344,Low,835,2622,3326,50.44
182,TASK_841,Medium,283,453,1053,82.1
183,TASK_233,Low,547,2311,2796,34.86
183,TASK_898,High,135,2024,1222,106.15
183,TASK_606,Medium,301,1976,283,98.43
183,TASK_480,Low,517,2205,130,84.25
184,TASK_907,Low,831,1391,1033,73.28
184,TASK_234,Medium,170,1340,2478,116.52
184,TASK_883,Medium,179,374,3942,104.64
184,TASK_215,Medium,218,2386,1101,71.34
185,TASK_513,Medium,213,597,3608,30.15
185,TASK_169,Medium,358,1772,1845,109.0
185,TASK_982,Medium,342,1691,1590,106.91
185,TASK_748,Medium,246,1146,3390,64.37
185,TASK_735,Medium,268,1264,3114,59.84
185,TASK_270,Medium,185,803,3023,8.76
186,TASK_650,Medium,265,2693,2231,75.57
186,TASK_206,Medium,170,558,1002,70.16
186,TASK_763,High,60,2379,1866,48.81
186,TASK_435,Low,518,1128,466,46.52
186,TASK_661,Low,846,2401,3457,46.24
186,TASK_535,Low,995,1897,710,116.01
187,TASK_966,Low,760,2961,3327,75.77
187,TASK_619,Low,597,2524,2563,91.65
187,TASK_162,Medium,362,2372,517,62.67
187,TASK_217,Low,848,2682,1905,18.65
187,TASK_336,High,141,1513,1385,40.47
187,TASK_247,Low,841,757,3734,99.38
187,TASK_252,Low,751,865,2041,42.74
188,TASK_97,Medium,360,2019,3984,7.87
188,TASK_449,High,131,1936,511,52.3
188,TASK_26,Low,638,218,872,68.56
188,TASK_35,Low,861,1187,2770,99.96
188,TASK_63,Low,637,2697,210,15.78
188,TASK_377,Medium,281,1787,1584,23.75
189,TASK_501,High,99,2474,1213,73.34
189,TASK_7,High,116,1586,530,90.29
189,TASK_554,High,93,530,1908,82.78
189,TASK_319,High,70,1967,416,91.53
189,TASK_690,Low,471,2321,1139,106.58
189,TASK_624,High,106,2457,2135,26.46
190,TASK_90,Medium,192,1436,771,62.65
190,TASK_84,Medium,295,467,3706,28.51
190,TASK_181,Medium,381,2678,1339,41.1
190,TASK_518,Medium,154,2264,2489,10.17
190,TASK_830,Medium,377,2751,3737,64.63
190,TASK_437,Medium,153,2879,1089,83.17
190,TASK_40,Low,925,2678,3278,21.45
190,TASK_713,Low,619,2852,2382,68.52
190,TASK_38,Low,406,373,2441,116.54
190,TASK_37,Low,466,1058,2136,111.62
190,TASK_185,Low,821,2356,2595,26.23
190,TASK_177,Medium,345,2616,572,51.28
190,TASK_602,High,120,2806,1280,66.17
191,TASK_771,Medium,280,311,3063,99.36
191,TASK_379,Medium,376,359,959,7.73
191,TASK_431,Low,456,2648,3944,92.42
191,TASK_503,High,126,2296,2736,83.49
191,TASK_714,Medium,278,526,3967,73.45
191,TASK_871,High,120,2724,1902,30.84
191,TASK_80,Medium,241,2135,2229,50.75
192,TASK_502,Medium,152,1748,1407,74.36
192,TASK_25,Medium,161,200,3525,31.43
192,TASK_769,Medium,375,2800,2869,55.9
192,TASK_353,Low,677,2755,264,118.89
192,TASK_978,High,57,1635,2910,96.85
192,TASK_862,Medium,303,1206,3455,111.08
192,TASK_360,Medium,267,1250,2505,25.84
192,TASK_595,Low,844,2194,4005,32.63
193,TASK_134,High,112,1650,1455,106.76
193,TASK_847,Low,957,1783,1295,43.57
193,TASK_831,Medium,353,1245,1738,33.27
194,TASK_784,High,83,1193,2633,74.59
194,TASK_316,Low,632,2248,1757,78.07
194,TASK_397,High,139,1664,948,72.66
194,TASK_672,Medium,316,2697,426,57.23
194,TASK_892,Medium,371,568,1052,20.55
195,TASK_507,Low,825,2812,3323,93.39
195,TASK_911,Low,975,2530,2660,68.65
195,TASK_256,Low,949,781,1900,60.45
195,TASK_909,High,61,2440,691,23.57
195,TASK_331,Medium,352,1581,3195,110.23
195,TASK_699,Medium,361,1143,1455,79.61
196,TASK_583,Medium,231,1752,2689,34.27
196,TASK_457,Low,610,1527,2926,89.86
197,TASK_519,Medium,249,1083,2020,89.43
197,TASK_781,Medium,362,239,3032,52.63
197,TASK_812,Medium,396,2038,1269,70.09
197,TASK_286,Low,687,2690,214,68.33
197,TASK_354,Medium,320,1513,3374,7.96
198,TASK_190,Low,504,2921,1486,89.52
198,TASK_242,High,56,675,2315,75.61
198,TASK_230,Medium,301,2411,369,112.91
199,TASK_628,High,65,1957,331,75.97
199,TASK_64,Low,780,2042,2048,60.91
199,TASK_260,Medium,369,1439,694,97.97
200,TASK_705,Medium,258,209,2637,51.17
200,TASK_752,Medium,311,2529,1812,60.35
200,TASK_303,Low,571,2441,622,9.82
200,TASK_191,Medium,341,564,2267,66.12
200,TASK_89,Medium,242,1580,3470,63.63
